,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
row_53,9,2,0.1,3,1.5,0.5,1,-0.595703125,1.333007813,0.070800781,0.270996094,0.131835938,0.151367188
row_54,9,3,0.14,9,1.5,0.5,1,0.207519531,1.337890625,0.053710938,0.321044922,0.097045898,0.114746094
row_55,9,4,0.19,16,1.5,0.5,1,-0.124511719,1.34765625,0.053710938,0.306396484,0.101928711,0.119628906
row_56,9,5,0.27,22,1.5,0.5,1,-0.637207031,1.352539063,0.053710938,0.279541016,0.109863281,0.139770508
row_57,9,6,0.38,28,1.5,0.5,1,-0.44921875,1.391601563,0.061035156,0.274658203,0.124511719,0.147705078
row_58,9,7,0.47,34,1.5,0.5,1,-0.366210938,1.40625,0.05859375,0.294189453,0.116577148,0.134277344
row_59,9,8,0.64,40,1.5,0.5,1,-0.107421875,1.440429688,0.05859375,0.280761719,0.133056641,0.158691406
row_60,9,9,0.81,46,1.5,0.5,1,0.263671875,1.416015625,0.056152344,0.272216797,0.126953125,0.151977539
row_61,10,1,0,0,1.5,0.25,1,0.249023438,1.3671875,0.053710938,0.297851563,0.114135742,0.140380859
row_62,10,2,0.04,4,1.5,0.25,1,-0.234375,1.42578125,0.05859375,0.289306641,0.120849609,0.131835938
row_63,10,3,0.08,9,1.5,0.25,1,-0.64453125,1.352539063,0.051269531,0.284423828,0.122680664,0.146484375
row_64,10,4,0.16,15,1.5,0.25,1,-0.639648438,1.381835938,0.061035156,0.318603516,0.12512207,0.141601563
row_65,10,5,0.25,21,1.5,0.25,1,-0.004882813,1.38671875,0.053710938,0.280761719,0.116577148,0.134887695
row_66,10,6,0.36,27,1.5,0.25,1,-0.546875,1.3671875,0.051269531,0.313720703,0.098876953,0.111694336
row_67,10,7,0.43,33,1.5,0.25,1,-0.615234375,1.362304688,0.051269531,0.269775391,0.110473633,0.128173828
row_68,10,8,0.47,39,1.5,0.25,1,0.249023438,1.381835938,0.056152344,0.266113281,0.108642578,0.125732422
row_69,10,9,0.53,45,1.5,0.25,1,0.249023438,1.381835938,0.053710938,0.278320313,0.116577148,0.141601563
row_70,10,10,0.7,57,1.5,0.25,1,0.205078125,1.337890625,0.068359375,0.321044922,0.117797852,0.139160156
row_71,11,1,0,1,0.75,0.25,1,-0.244140625,1.352539063,0.070800781,0.289306641,0.126953125,0.16418457
row_72,11,2,0.04,3,0.75,0.25,1,-0.654296875,1.313476563,0.070800781,0.301513672,0.149536133,0.181274414
row_73,11,3,0.07,10,0.75,0.25,1,-0.21484375,1.411132813,0.070800781,0.269775391,0.092773438,0.121459961
row_74,11,4,0.07,12,0.75,0.25,1,0.263671875,1.391601563,0.061035156,0.286865234,0.098876953,0.115356445
row_75,11,5,0.08,14,0.75,0.25,1,-0.60546875,1.342773438,0.065917969,0.296630859,0.121459961,0.14465332
row_76,11,6,0.09,17,0.75,0.25,1,0.341796875,1.411132813,0.070800781,0.284423828,0.101928711,0.123901367
row_77,11,7,,19,0.75,0.25,1,0.21484375,1.40625,0.068359375,0.274658203,0.085449219,0.101318359
row_78,11,8,0.12,21,0.75,0.25,1,-0.366210938,1.416015625,0.065917969,0.321044922,0.096435547,0.115356445
row_79,11,9,0.16,27,0.75,0.25,1,-0.678710938,1.352539063,0.063476563,0.294189453,0.106811523,0.127563477
row_80,11,10,0.18,33,0.75,0.25,1,-0.463867188,1.381835938,0.070800781,0.290527344,0.100708008,0.122680664
row_81,11,11,0.2,39,0.75,0.25,1,0.146484375,1.411132813,0.068359375,0.284423828,0.095214844,0.108032227
row_82,11,12,0.23,45,0.75,0.25,1,-0.329589844,1.38671875,0.078125,0.289306641,0.115356445,0.138549805
row_83,11,13,0.26,51,0.75,0.25,1,-0.549316406,1.352539063,0.078125,0.281982422,0.092163086,0.121459961
row_84,11,14,,54,0.75,0.25,1,-0.554199219,1.352539063,0.078125,0.310058594,0.091552734,0.103759766
row_85,11,15,0.31,57,0.75,0.25,1,-0.092773438,1.396484375,0.085449219,0.301513672,0.095825195,0.122680664
row_86,11,16,0.37,63,0.75,0.25,1,-0.676269531,1.376953125,0.092773438,0.301513672,0.114746094,0.137939453
row_87,11,17,,67,0.75,0.25,1,-0.122070313,1.372070313,0.085449219,0.274658203,0.115966797,0.137939453
row_88,11,18,0.42,72,0.75,0.25,1,0.244140625,1.40625,0.080566406,0.264892578,0.117797852,0.140991211
row_89,11,19,0.47,80,0.75,0.25,1,0.246582031,1.396484375,0.078125,0.260009766,0.082397461,0.106811523
row_90,11,20,0.57,86,0.75,0.25,1,-0.09765625,1.352539063,0.13671875,0.267333984,0.098876953,0.120849609
row_91,11,21,0.65,93,0.75,0.25,1,-0.0390625,1.376953125,0.083007813,0.257568359,0.111694336,0.139770508
row_92,11,22,0.68,100,0.75,0.25,1,-0.798339844,1.34765625,0.073242188,0.279541016,0.102539063,0.133666992
row_93,11,23,0.76,105,0.75,0.25,1,0.21484375,1.342773438,0.070800781,0.261230469,0.09765625,0.116577148
row_94,12,1,,1,0.75,0.5,1,6.41E-10,2.08E-33,1.05E-08,2.70E-06,4.07E-11,2.70E-06
row_95,12,2,0.05,3,0.75,0.5,1,-0.217285156,1.328125,0.063476563,0.29296875,0.111083984,0.133666992
row_96,12,3,0.08,6,0.75,0.5,1,0.102539063,1.352539063,0.05859375,0.289306641,0.126953125,0.15625
row_97,12,4,,12,0.75,0.5,1,-0.627441406,1.352539063,0.070800781,0.300292969,0.119628906,0.141601563
row_98,12,5,0.12,19,0.75,0.5,1,-0.642089844,1.342773438,0.070800781,0.279541016,0.130004883,0.160522461
row_99,12,6,0.17,24,0.75,0.5,1,-0.393066406,1.352539063,0.056152344,0.255126953,0.123291016,0.145263672
row_100,12,7,0.2,30,0.75,0.5,1,0.268554688,1.328125,0.063476563,0.275878906,0.133666992,0.162963867
row_101,12,8,0.24,36,0.75,0.5,1,-0.244140625,1.381835938,0.068359375,0.2734375,0.109863281,0.131225586
row_102,12,9,0.32,42,0.75,0.5,1,0.021972656,1.376953125,0.05859375,0.268554688,0.096435547,0.116577148
row_103,12,10,,45,0.75,0.5,1,0.185546875,1.357421875,0.061035156,0.262451172,0.096435547,0.111694336
row_104,12,11,0.4,49,0.75,0.5,1,-0.200195313,1.396484375,0.061035156,0.250244141,0.094604492,0.111083984
row_105,12,12,0.45,55,0.75,0.5,1,0.031738281,1.411132813,0.051269531,0.264892578,0.101318359,0.122070313
row_106,12,13,0.49,61,0.75,0.5,1,0.185546875,1.357421875,0.063476563,0.275878906,0.09765625,0.119628906
row_107,12,14,0.58,67,0.75,0.5,1,0.207519531,1.391601563,0.053710938,0.256347656,0.093994141,0.116577148
row_108,12,15,0.65,74,0.75,0.5,1,-0.600585938,1.372070313,0.05859375,0.252685547,0.103759766,0.121459961
row_109,5,1,0,0,1.5,0.5,2,0.102539063,1.333007813,0.078125,0.289306641,0.120849609,0.145263672
row_110,5,2,0.16,3,1.5,0.5,2,-0.48828125,1.298828125,0.078125,0.291748047,0.021362305,0.115966797
row_111,5,3,0.29,6,1.5,0.5,2,0.249023438,1.357421875,0.080566406,0.275878906,0.101318359,0.123291016
row_112,5,4,0.44,9,1.5,0.5,2,-0.600585938,1.337890625,0.080566406,0.284423828,0.095825195,0.110473633
row_113,5,5,0.53,12,1.5,0.5,2,0.1953125,1.372070313,0.075683594,0.260009766,0.10559082,0.115966797
row_114,5,6,0.74,15,1.5,0.5,2,0.21484375,1.38671875,0.075683594,0.285644531,0.095825195,0.110473633
row_115,6,1,0,0,1.5,0.25,2,-0.224609375,1.416015625,0.080566406,0.275878906,0.020751953,0.116577148
row_116,7,1,0,1,0.75,0.25,2,0.1171875,1.376953125,0.05859375,0.301513672,0.093383789,0.106811523
row_117,7,2,0.09,3,0.75,0.25,2,-0.590820313,1.333007813,0.063476563,0.296630859,0.125732422,0.146484375
row_118,7,3,0.13,6,0.75,0.25,2,-0.717773438,1.328125,0.078125,0.284423828,0.102539063,0.126953125
row_119,7,4,0.22,10,0.75,0.25,2,0.207519531,1.333007813,0.063476563,0.269775391,0.021362305,0.126342773
row_120,7,5,0.24,13,0.75,0.25,2,-0.310058594,1.391601563,0.061035156,0.300292969,0.111083984,0.134277344
row_121,7,6,0.34,15,0.75,0.25,2,-0.576171875,1.3671875,0.065917969,0.296630859,0.112915039,0.135498047
row_122,7,7,0.46,19,0.75,0.25,2,-0.681152344,1.352539063,0.070800781,0.272216797,0.112304688,0.129394531
row_123,7,8,,21,0.75,0.25,2,-0.109863281,1.420898438,0.061035156,0.307617188,0.098876953,0.122070313
row_124,8,1,0,0,0.75,0.5,2,0.126953125,1.381835938,0.063476563,0.296630859,0.104980469,0.120239258
row_125,8,2,0.18,3,0.75,0.5,2,-0.439453125,1.401367188,0.070800781,0.288085938,0.101928711,0.119018555
row_126,8,3,0.3,6,0.75,0.5,2,0.295410156,1.38671875,0.053710938,0.280761719,0.017700195,0.114746094
row_127,8,4,,8,0.75,0.5,2,0.278320313,1.357421875,0.063476563,0.275878906,0.109863281,0.133666992
row_128,8,5,0.44,9,0.75,0.5,2,0.212402344,1.38671875,0.053710938,0.262451172,0.108032227,0.12878418
row_129,8,6,0.62,12,0.75,0.5,2,0.295410156,1.401367188,0.065917969,0.305175781,0.126342773,0.159912109
row_130,13,1,,1,0.75,0.25,2,-0.15625,1.372070313,0.061035156,0.311279297,0.090332031,0.103149414
row_131,13,2,,2,0.75,0.25,2,-0.224609375,1.3671875,0.065917969,0.303955078,0.078125,0.095214844
row_132,13,3,0.1,4,0.75,0.25,2,0.131835938,1.411132813,0.056152344,0.275878906,0.075073242,0.09765625
row_133,13,4,0.13,7,0.75,0.25,2,-0.5078125,1.333007813,0.053710938,0.280761719,0.092773438,0.104980469
row_134,13,5,0.17,11,0.75,0.25,2,-0.629882813,1.303710938,0.068359375,0.274658203,0.017700195,0.101928711
row_135,13,6,0.32,16,0.75,0.25,2,0.229492188,1.396484375,0.068359375,0.266113281,0.08605957,0.102539063
row_136,13,7,0.38,19,0.75,0.25,2,0.109863281,1.411132813,0.056152344,0.281982422,0.017700195,0.094604492
row_137,13,8,0.49,22,0.75,0.25,2,-0.610351563,1.357421875,0.05859375,0.278320313,0.109863281,0.130615234
row_138,13,9,0.56,25,0.75,0.25,2,0.166015625,1.3671875,0.087890625,0.2734375,0.09765625,0.116577148
row_139,13,10,0.68,29,0.75,0.25,2,-0.541992188,1.357421875,0.061035156,0.266113281,0.111083984,0.133056641
row_140,13,11,0.83,32,0.75,0.25,2,-0.715332031,1.357421875,0.061035156,0.289306641,0.100097656,0.118408203
row_141,13,12,0.92,35,0.75,0.25,2,-0.463867188,1.333007813,0.061035156,0.267333984,0.111083984,0.125732422
row_142,13,13,1.07,38,0.75,0.25,2,-0.415039063,1.391601563,0.065917969,0.270996094,0.102539063,0.122680664
row_143,13,14,1.3,42,0.75,0.25,2,-0.622558594,1.3671875,0.068359375,0.277099609,0.095214844,0.110473633
row_144,13,15,1.53,45,0.75,0.25,2,-0.610351563,1.357421875,0.056152344,0.264892578,0.09765625,0.117797852
row_145,14,1,,1,0.75,0.5,2,0.087890625,1.328125,0.05859375,0.302734375,0.090942383,0.108642578
row_146,14,2,0.09,3,0.75,0.5,2,0.249023438,1.357421875,0.056152344,0.306396484,0.088500977,0.103149414
row_147,14,3,0.17,6,0.75,0.5,2,0.21484375,1.328125,0.056152344,0.310058594,0.104370117,0.120849609
row_148,14,4,0.24,9,0.75,0.5,2,-0.244140625,1.342773438,0.05859375,0.288085938,0.101318359,0.110473633
row_149,14,5,,11,0.75,0.5,2,-0.483398438,1.298828125,0.063476563,0.303955078,0.092773438,0.108642578
row_150,14,6,0.35,12,0.75,0.5,2,0.200195313,1.38671875,0.05859375,0.290527344,0.093994141,0.106201172
row_151,14,8,0.6,18,0.75,0.5,2,-0.576171875,1.337890625,0.063476563,0.264892578,0.091552734,0.119018555
row_152,14,9,0.81,21,0.75,0.5,2,0.258789063,1.391601563,0.068359375,0.283203125,0.102539063,0.125732422
row_153,14,10,1.14,24,0.75,0.5,2,0.25390625,1.40625,0.083007813,0.274658203,0.092773438,0.111083984
row_154,15,1,,1,1.5,0.25,2,-0.458984375,1.357421875,0.068359375,0.29296875,0.08605957,0.104980469
row_155,15,2,0.15,3,1.5,0.25,2,0.258789063,1.381835938,0.063476563,0.285644531,0.098266602,0.110473633
row_156,15,3,0.28,6,1.5,0.25,2,0.327148438,1.357421875,0.05859375,0.260009766,0.082397461,0.100097656
row_157,15,4,0.37,9,1.5,0.25,2,0.15625,1.381835938,0.061035156,0.277099609,0.087280273,0.101318359
row_158,15,5,0.48,13,1.5,0.25,2,-0.634765625,1.342773438,0.061035156,0.266113281,0.10559082,0.123901367
row_159,15,6,0.56,16,1.5,0.25,2,-0.1953125,1.401367188,0.063476563,0.285644531,0.083618164,0.093994141
row_160,15,7,0.7,19,1.5,0.25,2,-0.68359375,1.376953125,0.056152344,0.261230469,0.102539063,0.123291016
row_161,16,1,,1,1.5,0.5,2,-0.151367188,1.352539063,0.05859375,0.364990234,0.091552734,0.098876953
row_162,16,2,,2,1.5,0.5,2,-0.583496094,1.30859375,0.063476563,0.330810547,0.093994141,0.10925293
row_163,16,3,0.24,3,1.5,0.5,2,-0.200195313,1.40625,0.065917969,0.279541016,0.114746094,0.139770508
row_164,16,4,,4,1.5,0.5,2,0.244140625,1.328125,0.063476563,0.290527344,0.101318359,0.117797852
row_165,16,5,0.4,6,1.5,0.5,2,-0.205078125,1.381835938,0.068359375,0.289306641,0.098876953,0.114746094
row_166,16,6,0.62,9,1.5,0.5,2,-0.380859375,1.381835938,0.041503906,0.29296875,0.075683594,0.083007813
