Unnamed: 0,smcAC,vib_table,AE_table
row_45,-0.241699219,0.161132813,0.121459961
row_46,0.341796875,0.173339844,0.106201172
row_47,0.275878906,0.29296875,0.10925293
row_48,-0.322265625,0.114746094,0.130004883
row_49,-0.185546875,0.092773438,0.114746094
row_50,-0.295410156,0.075683594,0.107421875
row_51,-0.151367188,0.068359375,0.10559082
row_52,-0.407714844,0.090332031,0.145263672
row_53,-0.595703125,0.070800781,0.131835938
row_54,0.207519531,0.053710938,0.097045898
row_55,-0.124511719,0.053710938,0.101928711
row_56,-0.637207031,0.053710938,0.109863281
row_57,-0.44921875,0.061035156,0.124511719
row_58,-0.366210938,0.05859375,0.116577148
row_59,-0.107421875,0.05859375,0.133056641
row_60,0.263671875,0.056152344,0.126953125
row_61,0.249023438,0.053710938,0.114135742
row_62,-0.234375,0.05859375,0.120849609
row_63,-0.64453125,0.051269531,0.122680664
row_64,-0.639648438,0.061035156,0.12512207
row_65,-0.004882813,0.053710938,0.116577148
row_66,-0.546875,0.051269531,0.098876953
row_67,-0.615234375,0.051269531,0.110473633
row_68,0.249023438,0.056152344,0.108642578
row_69,0.249023438,0.053710938,0.116577148
row_70,0.205078125,0.068359375,0.117797852
row_71,-0.244140625,0.070800781,0.126953125
row_72,-0.654296875,0.070800781,0.149536133
row_73,-0.21484375,0.070800781,0.092773438
row_74,0.263671875,0.061035156,0.098876953
row_75,-0.60546875,0.065917969,0.121459961
row_76,0.341796875,0.070800781,0.101928711
row_77,0.21484375,0.068359375,0.085449219
row_78,-0.366210938,0.065917969,0.096435547
row_79,-0.678710938,0.063476563,0.106811523
row_80,-0.463867188,0.070800781,0.100708008
row_81,0.146484375,0.068359375,0.095214844
row_82,-0.329589844,0.078125,0.115356445
row_83,-0.549316406,0.078125,0.092163086
row_84,-0.554199219,0.078125,0.091552734
row_85,-0.092773438,0.085449219,0.095825195
row_86,-0.676269531,0.092773438,0.114746094
row_87,-0.122070313,0.085449219,0.115966797
row_88,0.244140625,0.080566406,0.117797852
row_89,0.246582031,0.078125,0.082397461
row_90,-0.09765625,0.13671875,0.098876953
row_91,-0.0390625,0.083007813,0.111694336
row_92,-0.798339844,0.073242188,0.102539063
row_93,0.21484375,0.070800781,0.09765625
row_94,6.41e-10,1.05e-08,4.07e-11
row_95,-0.217285156,0.063476563,0.111083984
row_96,0.102539063,0.05859375,0.126953125
row_97,-0.627441406,0.070800781,0.119628906
row_98,-0.642089844,0.070800781,0.130004883
row_99,-0.393066406,0.056152344,0.123291016
row_100,0.268554688,0.063476563,0.133666992
row_101,-0.244140625,0.068359375,0.109863281
row_102,0.021972656,0.05859375,0.096435547
row_103,0.185546875,0.061035156,0.096435547
row_104,-0.200195313,0.061035156,0.094604492
row_105,0.031738281,0.051269531,0.101318359
row_106,0.185546875,0.063476563,0.09765625
row_107,0.207519531,0.053710938,0.093994141
row_108,-0.600585938,0.05859375,0.103759766
row_109,0.102539063,0.078125,0.120849609
row_110,-0.48828125,0.078125,0.021362305
row_111,0.249023438,0.080566406,0.101318359
row_112,-0.600585938,0.080566406,0.095825195
row_113,0.1953125,0.075683594,0.10559082
row_114,0.21484375,0.075683594,0.095825195
row_115,-0.224609375,0.080566406,0.020751953
row_116,0.1171875,0.05859375,0.093383789
row_117,-0.590820313,0.063476563,0.125732422
row_118,-0.717773438,0.078125,0.102539063
row_119,0.207519531,0.063476563,0.021362305
row_120,-0.310058594,0.061035156,0.111083984
row_121,-0.576171875,0.065917969,0.112915039
row_122,-0.681152344,0.070800781,0.112304688
row_123,-0.109863281,0.061035156,0.098876953
row_124,0.126953125,0.063476563,0.104980469
row_125,-0.439453125,0.070800781,0.101928711
row_126,0.295410156,0.053710938,0.017700195
row_127,0.278320313,0.063476563,0.109863281
row_128,0.212402344,0.053710938,0.108032227
row_129,0.295410156,0.065917969,0.126342773
row_130,-0.15625,0.061035156,0.090332031
row_131,-0.224609375,0.065917969,0.078125
row_132,0.131835938,0.056152344,0.075073242
row_133,-0.5078125,0.053710938,0.092773438
row_134,-0.629882813,0.068359375,0.017700195
row_135,0.229492188,0.068359375,0.08605957
row_136,0.109863281,0.056152344,0.017700195
row_137,-0.610351563,0.05859375,0.109863281
row_138,0.166015625,0.087890625,0.09765625
row_139,-0.541992188,0.061035156,0.111083984
row_140,-0.715332031,0.061035156,0.100097656
row_141,-0.463867188,0.061035156,0.111083984
row_142,-0.415039063,0.065917969,0.102539063
row_143,-0.622558594,0.068359375,0.095214844
row_144,-0.610351563,0.056152344,0.09765625
row_145,0.087890625,0.05859375,0.090942383
row_146,0.249023438,0.056152344,0.088500977
row_147,0.21484375,0.056152344,0.104370117
row_148,-0.244140625,0.05859375,0.101318359
row_149,-0.483398438,0.063476563,0.092773438
row_150,0.200195313,0.05859375,0.093994141
row_151,-0.576171875,0.063476563,0.091552734
row_152,0.258789063,0.068359375,0.102539063
row_153,0.25390625,0.083007813,0.092773438
row_154,-0.458984375,0.068359375,0.08605957
row_155,0.258789063,0.063476563,0.098266602
row_156,0.327148438,0.05859375,0.082397461
row_157,0.15625,0.061035156,0.087280273
row_158,-0.634765625,0.061035156,0.10559082
row_159,-0.1953125,0.063476563,0.083618164
row_160,-0.68359375,0.056152344,0.102539063
row_161,-0.151367188,0.05859375,0.091552734
row_162,-0.583496094,0.063476563,0.093994141
row_163,-0.200195313,0.065917969,0.114746094
row_164,0.244140625,0.063476563,0.101318359
row_165,-0.205078125,0.068359375,0.098876953
row_166,-0.380859375,0.041503906,0.075683594
